game_id,date,home_team,visitor_team,home_game_number,home_result,home_streak,home_home_streak,home_away_streak,home_offensive_rating,home_defensive_rating,home_ts_percent,home_assist_percent,home_steal_percent,home_rebound_percent,home_turnover_percent,visitor_game_number,visitor_result,visitor_streak,visitor_home_streak,visitor_away_streak,visitor_offensive_rating,visitor_defensive_rating,visitor_ts_percent,visitor_assist_percent,visitor_steal_percent,visitor_rebound_percent,visitor_turnover_percent,home_last_10,visitor_last_10,home_wins_percent,visitor_wins_percent,wins_percent_diff,offensive_rating_diff,defensive_rating_diff,net_rating_diff,home_estimated_points,visitor_estimated_points,estimated_point_diff,ts_percent_diff,turnover_percent_diff,assist_percent_diff,steal_percent_diff,rebound_percent_diff,home_streak_extreme,visitor_streak_extreme,streak_extreme_diff,streak_diff,home_quality,visitor_quality,home_much_better,visitor_much_better,teams_evenly_matched,target
202410230LAC,2024-10-23 14:00:00+00:00,LAC,PHX,3,L,-2,-2,0,101.9,104.6,53.7,64.3,8.1,54.8,17.3,3,W,2,0,2,104.6,101.9,62.4,65.8,10.8,45.2,19.1,0-0,0-0,0.0,0.0,0.0,-2.6999999999999886,-2.6999999999999886,-5.399999999999977,101.9,104.6,-2.6999999999999886,-8.699999999999996,1.8000000000000007,-1.5,-2.700000000000001,9.599999999999994,0,0,0,-4,Muy Débil,Muy Débil,0,0,1,0
202410240WAS,2024-10-24 11:00:00+00:00,WAS,BOS,3,L,-2,-1,-1,99.5,119.0,49.6,65.9,8.8,44.9,12.7,4,W,3,3,0,147.3,121.6,67.0,68.8,6.7,54.1,3.9,0-0,1-0,0.0,1.0,-1.0,-47.80000000000001,2.5999999999999943,-45.20000000000002,110.55,133.15,-22.60000000000001,-17.4,-8.799999999999999,-2.8999999999999915,2.1000000000000005,-9.200000000000003,0,0,0,-5,Muy Débil,Muy Fuerte,0,1,0,0
202410240DAL,2024-10-24 11:30:00+00:00,DAL,SAS,1,W,0,0,0,118.1,107.3,53.5,64.3,8.9,49.0,8.2,3,L,2,2,0,107.3,118.1,56.39999999999999,76.9,5.9,51.0,16.4,0-0,0-0,0.0,0.0,0.0,10.799999999999997,10.799999999999997,21.599999999999994,118.1,107.3,10.799999999999997,-2.8999999999999915,8.2,-12.600000000000009,3.0,-2.0,0,0,0,-2,Muy Débil,Muy Débil,0,0,1,1
202410240DEN,2024-10-24 14:00:00+00:00,DEN,OKC,3,L,1,0,1,86.8,101.7,41.8,82.9,11.0,53.8,13.3,2,W,1,1,0,101.7,86.8,48.0,53.5,9.0,46.2,10.1,0-0,0-0,0.0,0.0,0.0,-14.900000000000006,-14.900000000000006,-29.80000000000001,86.8,101.7,-14.900000000000006,-6.200000000000003,-3.200000000000001,29.400000000000006,2.0,7.599999999999994,0,0,0,0,Muy Débil,Muy Débil,0,0,1,0
202410240SAC,2024-10-24 14:00:00+00:00,SAC,MIN,2,L,-1,0,-1,113.4,115.3,59.0,55.3,6.9,47.5,8.5,4,W,-2,-1,-1,107.4,114.7,53.2,48.6,4.2,50.5,14.2,0-0,0-1,0.0,0.0,0.0,6.0,-0.5999999999999943,5.400000000000006,114.05000000000001,111.35,2.700000000000017,5.799999999999997,5.699999999999999,6.699999999999996,2.7,-3.0,0,0,0,1,Muy Débil,Muy Débil,0,0,1,0
202410250ORL,2024-10-25 11:00:00+00:00,ORL,BKN,3,W,2,1,1,120.7,100.9,54.900000000000006,68.3,8.3,58.2,11.7,4,L,-3,0,-3,111.8,115.6,56.89999999999999,52.5,7.7,48.9,15.7,1-0,0-1,1.0,0.0,1.0,8.900000000000006,14.699999999999989,23.599999999999994,118.15,106.35,11.800000000000011,-1.9999999999999858,4.0,15.799999999999997,0.6000000000000005,9.300000000000004,0,0,0,5,Muy Fuerte,Muy Débil,1,0,0,1
202410250TOR,2024-10-25 11:00:00+00:00,TOR,PHI,4,W,-3,-1,-2,106.2,136.3,53.7,69.4,8.0,51.4,16.1,4,L,-1,-1,0,109.9,125.0,49.6,43.9,4.0,51.6,8.3,0-1,0-1,0.0,0.0,0.0,-3.700000000000003,-11.300000000000011,-15.000000000000014,115.6,123.10000000000001,-7.500000000000014,4.100000000000001,-7.800000000000001,25.500000000000007,4.0,-0.20000000000000284,0,0,0,-2,Muy Débil,Muy Débil,0,0,1,1
202410250NYK,2024-10-25 11:30:00+00:00,NYK,IND,4,W,-1,2,-1,121.6,147.3,64.1,46.5,2.2,45.9,12.4,4,L,2,1,1,116.6,110.5,61.199999999999996,76.2,10.1,50.6,13.8,0-1,1-0,0.0,1.0,-1.0,5.0,-36.80000000000001,-31.80000000000001,116.05,131.95,-15.899999999999991,2.8999999999999986,1.4000000000000004,-29.700000000000003,-7.8999999999999995,-4.700000000000003,0,0,0,-3,Muy Débil,Muy Fuerte,0,1,0,1
202410250CLE,2024-10-25 11:30:00+00:00,CLE,DET,4,W,1,-1,1,136.3,106.2,69.1,56.9,10.0,48.6,11.7,4,L,-2,-1,-1,110.5,116.6,54.300000000000004,57.9,6.1,49.4,12.2,1-0,0-1,1.0,0.0,1.0,25.80000000000001,10.399999999999991,36.2,126.45,108.35,18.10000000000001,14.79999999999999,0.5,-1.0,3.9000000000000004,-0.7999999999999972,0,0,0,3,Muy Fuerte,Muy Débil,1,0,0,1
202410250ATL,2024-10-25 11:30:00+00:00,ATL,CHA,2,W,1,1,0,123.4,118.5,64.0,64.1,10.9,42.4,12.5,4,L,2,0,2,113.9,108.7,57.599999999999994,52.6,6.2,56.6,15.1,1-0,1-0,1.0,1.0,0.0,9.5,-9.799999999999997,-0.29999999999999716,116.05000000000001,116.2,-0.14999999999999147,6.400000000000006,2.5999999999999996,11.499999999999993,4.7,-14.200000000000003,0,0,0,-1,Muy Fuerte,Muy Fuerte,0,0,1,1
202410250MIL,2024-10-25 12:00:00+00:00,MIL,CHI,3,L,1,0,1,125.0,109.9,66.2,62.8,4.0,48.4,13.0,3,W,-2,0,-2,102.7,113.8,57.199999999999996,61.9,3.7,52.8,17.8,1-0,0-1,1.0,0.0,1.0,22.299999999999997,3.8999999999999915,26.19999999999999,119.4,106.30000000000001,13.099999999999994,9.000000000000007,4.800000000000001,0.8999999999999986,0.2999999999999998,-4.399999999999999,0,0,0,3,Muy Fuerte,Muy Débil,1,0,0,0
202410250HOU,2024-10-25 12:00:00+00:00,HOU,MEM,4,W,-1,-1,2,108.7,113.9,47.0,50.0,8.3,43.4,6.7,2,L,1,0,1,100.3,118.9,50.5,63.2,7.4,40.2,15.1,0-1,1-0,0.0,1.0,-1.0,8.400000000000006,5.0,13.400000000000006,113.80000000000001,107.1,6.700000000000017,-3.5,8.399999999999999,-13.200000000000003,0.9000000000000004,3.1999999999999957,0,0,0,-2,Muy Débil,Muy Fuerte,0,1,0,1
202410250UTA,2024-10-25 13:30:00+00:00,UTA,GSW,4,L,-2,-1,-1,119.9,121.8,59.199999999999996,52.5,6.8,54.4,14.0,3,W,1,0,1,130.6,97.0,65.9,79.2,12.1,57.6,14.5,0-1,1-0,0.0,1.0,-1.0,-10.699999999999989,-24.799999999999997,-35.499999999999986,108.45,126.19999999999999,-17.749999999999986,-6.70000000000001,0.5,-26.700000000000003,-5.3,-3.200000000000003,0,0,0,-3,Muy Débil,Muy Fuerte,0,1,0,0
202410250POR,2024-10-25 14:00:00+00:00,POR,NOP,4,L,-3,-2,-1,97.0,130.6,49.4,58.3,9.3,42.4,14.6,4,W,2,2,0,113.8,102.7,57.9,64.4,13.9,47.2,10.1,0-1,1-0,0.0,1.0,-1.0,-16.799999999999997,-27.89999999999999,-44.69999999999999,99.85,122.19999999999999,-22.349999999999994,-8.5,-4.5,-6.1000000000000085,-4.6,-4.800000000000004,0,0,0,-5,Muy Débil,Muy Fuerte,0,1,0,0
202410250LAL,2024-10-25 14:00:00+00:00,LAL,PHX,4,W,3,1,2,114.7,107.4,51.9,52.4,7.3,49.5,6.2,4,L,3,0,3,104.6,101.9,62.4,65.8,10.8,45.2,19.1,1-0,1-0,1.0,1.0,0.0,10.100000000000009,-5.5,4.6000000000000085,108.30000000000001,106.0,2.3000000000000114,-10.5,12.900000000000002,-13.399999999999999,-3.500000000000001,4.299999999999997,0,0,0,0,Muy Fuerte,Muy Fuerte,0,0,1,1
202410260DEN,2024-10-26 09:00:00+00:00,DEN,LAC,4,L,-1,-1,1,86.8,101.7,41.8,82.9,11.0,53.8,13.3,4,W,-3,-3,0,101.9,104.6,53.7,64.3,8.1,54.8,17.3,0-1,0-1,0.0,0.0,0.0,-15.100000000000009,2.8999999999999915,-12.200000000000017,95.69999999999999,101.80000000000001,-6.100000000000023,-11.900000000000006,4.0,18.60000000000001,2.9000000000000004,-1.0,0,0,0,2,Muy Débil,Muy Débil,0,0,1,0
202410260CHO,2024-10-26 11:00:00+00:00,CHA,MIA,5,L,-1,0,-1,116.2,116.05,56.10000000000001,56.0,6.6,57.1,14.6,2,W,-1,-1,0,116.2,108.0,57.99999999999999,82.5,8.2,48.3,12.5,1-1,0-1,0.5,0.0,0.5,0.0,-8.049999999999997,-8.049999999999997,112.1,116.125,-4.025000000000006,-1.8999999999999844,-2.0999999999999996,-26.5,-1.5999999999999996,8.800000000000004,0,0,0,0,Promedio,Muy Débil,1,0,0,0
202410260DET,2024-10-26 11:00:00+00:00,DET,BOS,5,L,-3,-1,-2,105.8,114.85,55.7,61.8,4.5,50.6,16.0,5,W,4,3,1,133.15,110.55,63.5,59.4,6.8,54.6,8.0,0-2,2-0,0.0,1.0,-1.0,-27.35000000000001,-4.299999999999997,-31.650000000000006,108.175,124.0,-15.825000000000003,-7.799999999999997,-8.0,2.3999999999999986,-2.3,-4.0,0,0,0,-7,Muy Débil,Muy Fuerte,0,1,0,0
202410260WAS,2024-10-26 11:00:00+00:00,WAS,CLE,4,L,-3,-2,-1,99.5,119.0,49.6,65.9,8.8,44.9,12.7,5,W,2,1,1,124.7,103.65,65.2,61.8,11.5,48.4,12.1,0-1,2-0,0.0,1.0,-1.0,-25.200000000000003,-15.349999999999994,-40.55,101.575,121.85,-20.27499999999999,-15.600000000000001,-0.5999999999999996,4.1000000000000085,-2.6999999999999993,-3.5,0,0,0,-5,Muy Débil,Muy Fuerte,0,1,0,0
