game_number,game_id,opponent,result,streak,offensive_rating,defensive_rating,ts_percent,assist_percent,steal_percent,rebound_percent,turnover_percent
72,202503220LAL,LAL,W,2W,113.23,116.23,0.582,67.1,7.3,49.2,12.7
73,202503240DEN,DEN,W,3W,113.62,116.16,0.583,67.2,7.4,49.3,12.6
74,202503270CHI,LAL,W,4W,113.85,116.21,0.584,67.2,7.4,49.2,12.6
75,202503290CHI,DAL,L,1L,113.88,116.18,0.584,67.3,7.4,49.3,12.6
76,202503310OKC,OKC,L,2L,113.86,116.14,0.584,67.4,7.3,49.4,12.6
77,202504010CHI,TOR,W,1W,113.74,116.33,0.584,67.4,7.3,49.4,12.7
78,202504040CHI,POR,W,2W,114.03,116.34,0.585,67.4,7.3,49.5,12.6
79,202504060CHO,CHA,W,3W,113.99,116.21,0.585,67.4,7.3,49.6,12.7
80,202504080CLE,CLE,L,1L,114.18,116.2,0.586,67.2,7.3,49.6,12.7
81,202504090CHI,MIA,W,1W,114.17,116.43,0.586,67.2,7.3,49.6,12.7
82,202504110CHI,WAS,W,2W,114.24,116.38,0.587,67.2,7.3,49.7,12.7
83,202504130PHI,PHI,W,3W,114.27,116.02,0.586,67.3,7.3,49.7,12.7
84,202504160CHI,MIA,L,1L,114.28,115.77,0.586,67.2,7.3,49.8,12.7
