game_id,date,home_team,visitor_team,home_game_number,home_result,home_streak,home_offensive_rating,home_defensive_rating,home_ts_percent,home_assist_percent,home_steal_percent,home_rebound_percent,home_turnover_percent,visitor_game_number,visitor_result,visitor_streak,visitor_offensive_rating,visitor_defensive_rating,visitor_ts_percent,visitor_assist_percent,visitor_steal_percent,visitor_rebound_percent,visitor_turnover_percent
202410260CHI,2024-10-26T12:00:00Z,CHI,OKC,4,L,1L,113.45,113.85,0.599,63.5,6.5,51.1,13.2,3,W,3W,101.7,86.8,0.48,53.5,9.0,46.2,10.1
202410260MIN,2024-10-26T12:00:00Z,MIN,TOR,5,W,2W,111.35,114.05,0.579,53.5,3.6,51.5,14.8,5,L,1L,110.1,121.2,0.567,70.4,9.4,58.7,19.0
202410260MEM,2024-10-26T12:00:00Z,MEM,ORL,3,W,1W,111.05,119.4,0.552,64.2,7.1,42.9,13.1,4,L,1L,119.5,101.95,0.599,70.0,9.2,54.8,12.2
202410260SAS,2024-10-26T12:30:00Z,SAS,HOU,4,W,1W,107.3,118.1,0.564,76.9,5.9,51.0,16.4,5,L,1L,113.8,107.1,0.516,48.2,8.8,51.6,10.5
202410260PHO,2024-10-26T14:00:00Z,PHX,DAL,5,W,1W,111.15,113.4,0.636,74.5,9.4,46.5,17.6,2,L,1L,105.6,118.1,0.505,59.5,6.2,49.5,8.2
202410260LAL,2024-10-26T14:30:00Z,LAL,SAC,5,W,5W,119.8,112.55,0.593,67.5,8.8,50.8,9.3,3,L,3L,113.4,115.3,0.59,55.3,6.9,47.5,8.5
202410270IND,2024-10-27T07:30:00Z,IND,PHI,5,L,2L,109.55,119.55,0.573,72.2,9.2,47.0,14.3,5,W,1W,108.0,119.5,0.518,54.7,7.5,42.9,11.1
202410270POR,2024-10-27T10:00:00Z,POR,NOP,5,W,1W,98.7,116.45,0.508,64.3,8.1,47.3,15.7,5,L,1L,108.05,101.55,0.553,66.9,12.8,47.5,11.2
202410270BRK,2024-10-27T10:00:00Z,BKN,MIL,5,W,1W,107.4,116.95,0.558,57.7,7.4,48.8,16.4,4,L,2L,119.45,117.05,0.625,57.5,4.3,49.5,12.8
202410270OKC,2024-10-27T11:00:00Z,OKC,ATL,4,W,4W,100.6,84.85,0.486,50.1,11.1,46.6,9.0,3,L,1L,119.5,115.15,0.619,64.1,11.2,46.8,13.2
